txn_id,txn_time_raw,property_code,outlet_name,guest_ref,net_amount_raw,tax_amount_raw,tip_amount_raw,payment_mode,items_count_raw,line_items_raw,source_file,ingested_at
T-929828,24-03-2026 03:08 PM,SP-01,Peak Restaurant, G-45329 ,858.86,SAR128.83,SAR25.90,CARD,one,"[{""sku"": ""SKU041"", ""qty"": 2, ""price"": 82.2}, {""sku"": ""SKU030"", ""qty"": 1, ""price"": 87.16}, {""sku"": ""SKU200"", ""qty"": 2, ""price"": 102.14}, {""sku"": ""SKU023"", ""qty"": 1, ""price"": 37.64}, {""sku"": ""SKU126"", ""qty"": 1, ""price"": 110.31}]",pos_raw_20260301_10.csv,2026-03-03 07:22:42
T-355454,2026-02-27 19:27:06,SP01,Peak Restaurant,G-20814,366.81,SAR 55,0,Card,5,"[{""sku"": ""SKU101"", ""qty"": 2, ""price"": 67.26}, {""sku"": ""SKU027"", ""qty"": 2, ""price"": 13.61}, {""sku"": ""SKU048"", ""qty"": 2, ""price"": 80.12}, {""sku"": ""SKU199"", ""qty"": 1, ""price"": 83.43}, {""sku"": ""SKU050"", ""qty"": 1, ""price"": 118.53}]",pos_raw_20260301_10.csv,2026-03-03 07:22:42
T-921385,2026/03/14 09:25,SP01,Summit Cafe,NA,SAR 858.79,VAT: 128.82,0,Apple Pay,5,"[{""sku"": ""SKU190"", ""qty"": 3, ""price"": 105.91}, {""sku"": ""SKU099"", ""qty"": 3, ""price"": 56.02}, {""sku"": ""SKU151"", ""qty"": 2, ""price"": 28.55}, {""sku"": ""SKU025"", ""qty"": 3, ""price"": 62.99}, {""sku"": ""SKU113"", ""qty"": 1, ""price"": 14.24}]",pos_raw_20260301_10.csv,2026-03-03 07:22:42
T-578251,2026/02/22 16:53,SP01,Peak Restaurant,g-28053,VAT: 876.04,SAR 131,0.00,CARD,3,"[{""sku"": ""SKU055"", ""qty"": 1, ""price"": 30.08}, {""sku"": ""SKU143"", ""qty"": 1, ""price"": 24.86}, {""sku"": ""SKU089"", ""qty"": 2, ""price"": 111.03}]",pos_raw_20260301_10.csv,2026-03-03 07:22:42
T-233189,2026-03-15 03:59:47 +0530,SP-01,Peak Restaurant,g-09206,SAR314.51,47.18,0.00,Card,1,"[{""sku"": ""SKU160"", ""qty"": 2, ""price"": 54.37}]",pos_raw_20260301_10.csv,2026-03-03 07:22:42
T-423015,2026-03-10 02:18:17,SP01,Retail Store,G13262,35.90,SR5.38,,Apple Pay,2,,pos_raw_20260301_10.csv,2026-03-03 07:22:42
T-071168,2026-04-01T21:00:34Z,SP01,Spa Lounge,NA,599.56,89.93,,Apple Pay,1,"[{""sku"": ""SKU071"", ""qty"": 3, ""price"": 68.03}]",pos_raw_20260301_10.csv,2026-03-03 07:22:42
T-342451,2026-03-05 17:58:50 GMT,SP-01,Spa Lounge,NULL,SAR 584,SAR 88,0.00,Apple Pay,3,,pos_raw_20260301_10.csv,2026-03-03 07:22:42
T-242444,2026-03-21 13:42:02 +0000,soudah-01,Peak Restaurant,,442.07,66.31,,Card,5,"[{""sku"": ""SKU041"", ""qty"": 3, ""price"": 53.03}, {""sku"": ""SKU168"", ""qty"": 3, ""price"": 86.63}, {""sku"": ""SKU162"", ""qty"": 1, ""price"": 18.28}, {""sku"": ""SKU200"", ""qty"": 1, ""price"": 65.13}, {""sku"": ""SKU017"", ""qty"": 2, ""price"": 74.42}]",pos_raw_20260301_10.csv,2026-03-03 07:22:42
T-620328,2026-02-18 23:07:51,soudah-01,Peak Restaurant,G-65790,SAR 422,SAR 63.25,,CARD,5,"[{""sku"": ""SKU014"", ""qty"": 3, ""price"": 8.58}, {""sku"": ""SKU138"", ""qty"": 3, ""price"": 96.02}, {""sku"": ""SKU135"", ""qty"": 2, ""price"": 84.61}, {""sku"": ""SKU042"", ""qty"": 2, ""price"": 109.38}, {""sku"": ""SKU092"", ""qty"": 2, ""price"": 89.25}]",pos_raw_20260301_10.csv,2026-03-03 07:22:42
T-630869,2026-03-29T04:09:41Z,SP01,Retail Store,G-48745,SR635.51,SR 95.33,,cash,1,"[{""sku"": ""SKU014"", ""qty"": 2, ""price"": 48.42}]",pos_raw_20260301_10.csv,2026-03-03 07:22:42
T-487344,30-03-2026 02:27 PM,SP01,Retail Store,G89760,SAR 146,SAR21.89,SAR14.71,Card,5,"[{""sku"": ""SKU164"", ""qty"": 3, ""price"": 87.2}, {""sku"": ""SKU113"", ""qty"": 3, ""price"": 83.63}, {""sku"": ""SKU116"", ""qty"": 1, ""price"": 60.45}, {""sku"": ""SKU165"", ""qty"": 1, ""price"": 18.41}, {""sku"": ""SKU110"", ""qty"": 2, ""price"": 17.28}]",pos_raw_20260301_10.csv,2026-03-03 07:22:42
T-346642,2026/04/01 10:50,SP01,Retail Store,NULL,sar 330.47,sar49.57,,Card,2,"[{""sku"": ""SKU150"", ""qty"": 2, ""price"": 87.41}, {""sku"": ""SKU056"", ""qty"": 3, ""price"": 51.81}]",pos_raw_20260301_10.csv,2026-03-03 07:22:42
T-552590,11-02-2026 02:55 AM +0000,soudah-01,Summit Cafe,G95047,356.50,SAR 53,7.92,Apple Pay,5,"[{""sku"": ""SKU114"", ""qty"": 1, ""price"": 72.68}, {""sku"": ""SKU124"", ""qty"": 2, ""price"": 65.12}, {""sku"": ""SKU045"", ""qty"": 1, ""price"": 13.89}, {""sku"": ""SKU151"", ""qty"": 3, ""price"": 42.83}, {""sku"": ""SKU020"", ""qty"": 1, ""price"": 76.12}]",pos_raw_20260301_10.csv,2026-03-03 07:22:42
T-765771,2026-02-13 10:31:30,SP01,Retail Store,NA,sar 279.17,VAT: 41.88,0.00,Apple Pay,3,"[{""sku"": ""SKU136"", ""qty"": 3, ""price"": 42.36}, {""sku"": ""SKU036"", ""qty"": 3, ""price"": 22.38}, {""sku"": ""SKU152"", ""qty"": 1, ""price"": 50.24}",pos_raw_20260301_10.csv,2026-03-03 07:22:42
T-409539,2026-02-20 17:11:44,SP01,Summit Cafe,G-66451,SAR 53,SAR 8,,Apple Pay,5,"[{""sku"": ""SKU130"", ""qty"": 1, ""price"": 61.46}, {""sku"": ""SKU057"", ""qty"": 2, ""price"": 50.21}, {""sku"": ""SKU114"", ""qty"": 1, ""price"": 64.76}, {""sku"": ""SKU034"", ""qty"": 3, ""price"": 63.09}, {""sku"": ""SKU005"", ""qty"": 1, ""price"": 78.06}]",pos_raw_20260301_10.csv,2026-03-03 07:22:42
T-768375,2026-02-09 20:19:34,SOUDAH_1,Summit Cafe,,SAR 568,SAR 85.23,0,cash,5,"[{""sku"": ""SKU184"", ""qty"": 3, ""price"": 67.11}, {""sku"": ""SKU041"", ""qty"": 3, ""price"": 110.03}, {""sku"": ""SKU164"", ""qty"": 3, ""price"": 100.35}, {""sku"": ""SKU096"", ""qty"": 3, ""price"": 109.19}, {""sku"": ""SKU069"", ""qty"": 3, ""price"": 68.54}]",pos_raw_20260301_10.csv,2026-03-03 07:22:42
T-639111,2026-03-01 09:26:09,SOUDAH_1,Summit Cafe,,SAR 350.84,SAR 52.63,31.29,Apple Pay,5,"[{""sku"": ""SKU041"", ""qty"": 2, ""price"": 66.38}, {""sku"": ""SKU035"", ""qty"": 1, ""price"": 52.62}, {""sku"": ""SKU080"", ""qty"": 3, ""price"": 44.83}, {""sku"": ""SKU078"", ""qty"": 2, ""price"": 78.26}, {""sku"": ""SKU170"", ""qty"": 1, ""price"": 44.46}]",pos_raw_20260301_10.csv,2026-03-03 07:22:42
T-910128,2026/02/08 08:32,SOUDAH_1,Peak Restaurant,,SAR773.56,SAR116.03,,Apple Pay,5,"[{""sku"": ""SKU043"", ""qty"": 2, ""price"": 32.38}, {""sku"": ""SKU151"", ""qty"": 3, ""price"": 28.66}, {""sku"": ""SKU030"", ""qty"": 2, ""price"": 26.8}, {""sku"": ""SKU005"", ""qty"": 2, ""price"": 22.92}, {""sku"": ""SKU006"", ""qty"": 3, ""price"": 15.5}]",pos_raw_20260301_10.csv,2026-03-03 07:22:42
T-576081,2026/03/11 08:26 +0000,soudah-01,summit café,g-08563,SAR 766.54,SAR 115,,cash,1,"[{""sku"": ""SKU077"", ""qty"": 2, ""price"": 69.3}]",pos_raw_20260301_10.csv,2026-03-03 07:22:42
T-281084,2026/02/01 19:03,SP-01,Spa Lounge,NA,136.28,20.44,,CARD,5,"[{""sku"": ""SKU091"", ""qty"": 1, ""price"": 27.43}, {""sku"": ""SKU178"", ""qty"": 1, ""price"": 32.31}, {""sku"": ""SKU029"", ""qty"": 1, ""price"": 50.89}, {""sku"": ""SKU200"", ""qty"": 1, ""price"": 21.81}, {""sku"": ""SKU154"", ""qty"": 2, ""price"": 119.31}]",pos_raw_20260301_10.csv,2026-03-03 07:22:42
T-159660,2026-03-04T16:20:00Z,SOUDAH_1,summit café,g-67362,VAT: sar789.51,118.43,VAT: sar 9.50,Apple Pay,2,"[{""sku"": ""SKU141"", ""qty"": 1, ""price"": 13.55}, {""sku"": ""SKU079"", ""qty"": 3, ""price"": 52.47}]",pos_raw_20260301_10.csv,2026-03-03 07:22:42
T-169427,2026/03/05 06:56,SP01,Retail Store,,SAR 198.87,SAR29.83,7.24,Apple Pay,5,"[{""sku"": ""SKU121"", ""qty"": 3, ""price"": 5.76}, {""sku"": ""SKU199"", ""qty"": 3, ""price"": 33.28}, {""sku"": ""SKU186"", ""qty"": 2, ""price"": 43.02}, {""sku"": ""SKU142"", ""qty"": 3, ""price"": 35.1}, {""sku"": ""SKU102"", ""qty"": 2, ""price"": 99.76}]",pos_raw_20260301_10.csv,2026-03-03 07:22:42
T-649659,2026-03-10 14:41:55,SP01,summit café,g-16042,SAR 425.86,SAR 64,,CARD,1,"[{""sku"": ""SKU115"", ""qty"": 3, ""price"": 62.63}]",pos_raw_20260301_10.csv,2026-03-03 07:22:42
T-160068,12-02-2026 11:40 PM,SP01,Retail Store,G08112,SAR774.68,SAR 116,SAR6.86,Apple Pay,5,"[{""sku"": ""SKU023"", ""qty"": 3, ""price"": 62.46}, {""sku"": ""SKU052"", ""qty"": 1, ""price"": 100.33}, {""sku"": ""SKU021"", ""qty"": 1, ""price"": 89.31}, {""sku"": ""SKU197"", ""qty"": 2, ""price"": 103.58}, {""sku"": ""SKU191"", ""qty"": 3, ""price"": 38.4}]",pos_raw_20260301_10.csv,2026-03-03 07:22:42
T-261672,07-02-2026 03:56 PM,soudah-01,Summit Cafe,,SAR 506,75.93,0,Card,3,"[{""sku"": ""SKU179"", ""qty"": 1, ""price"": 117.42}, {""sku"": ""SKU159"", ""qty"": 1, ""price"": 82.79}, {""sku"": ""SKU188"", ""qty"": 2, ""price"": 7.09}]",pos_raw_20260301_10.csv,2026-03-03 07:22:42
T-755026,2026-02-01T14:52:09Z,soudah-01,Summit Cafe,,87.67,SAR 13,0.00,cash,3,"[{""sku"": ""SKU141"", ""qty"": 3, ""price"": 106.28}, {""sku"": ""SKU024"", ""qty"": 2, ""price"": 62.09}, {""sku"": ""SKU075"", ""qty"": 2, ""price"": 11.75}]",pos_raw_20260301_10.csv,2026-03-03 07:22:42
T-901409,2026/03/20 10:16,SP01,Peak Restaurant,g-57032,SAR 121,18.13,15.95,CARD,2,"[{""sku"": ""SKU025"", ""qty"": 3, ""price"": 51.5}, {""sku"": ""SKU045"", ""qty"": 1, ""price"": 6.29}]",pos_raw_20260301_10.csv,2026-03-03 07:22:42
T-322510,28-03-2026 09:28 PM,SP-01,Spa Lounge,,SAR 548,82.23,0.00,Apple Pay,4,"[{""sku"": ""SKU050"", ""qty"": 1, ""price"": 70.35}, {""sku"": ""SKU185"", ""qty"": 2, ""price"": 89.44}, {""sku"": ""SKU141"", ""qty"": 1, ""price"": 54.03}, {""sku"": ""SKU151"", ""qty"": 2, ""price"": 32.45}]",pos_raw_20260301_10.csv,2026-03-03 07:22:42
T-804247,2026-03-02T06:12:54Z,SP01,Peak Restaurant,,SAR 613,SAR 92,,cash,5,"[{""sku"": ""SKU105"", ""qty"": 3, ""price"": 54.26}, {""sku"": ""SKU004"", ""qty"": 2, ""price"": 56.22}, {""sku"": ""SKU092"", ""qty"": 1, ""price"": 84.83}, {""sku"": ""SKU026"", ""qty"": 3, ""price"": 45.54}, {""sku"": ""SKU122"", ""qty"": 3, ""price"": 67.27}]",pos_raw_20260301_10.csv,2026-03-03 07:22:42
T-708773,2026-03-24 05:25:27 GMT,SP01,Peak Restaurant,NULL,SAR283.31,SAR 42.50,,Apple Pay,2,"[{""sku"": ""SKU083"", ""qty"": 1, ""price"": 22.64}, {""sku"": ""SKU173"", ""qty"": 2, ""price"": 82.0}]",pos_raw_20260301_10.csv,2026-03-03 07:22:42
T-041775,2026-02-25T05:50:29Z,soudah-01,Retail Store,g-46948,SAR466.06,SAR69.91,,Apple Pay,1,"[{""sku"": ""SKU178"", ""qty"": 2, ""price"": 103.54}]",pos_raw_20260301_10.csv,2026-03-03 07:22:42
T-683880,2026-02-11 05:00:16,soudah-01,Peak Restaurant,g-72724,SAR700.86,SAR105.13,0.00,Card,5,"[{""sku"": ""SKU032"", ""qty"": 1, ""price"": 27.74}, {""sku"": ""SKU151"", ""qty"": 3, ""price"": 84.6}, {""sku"": ""SKU097"", ""qty"": 1, ""price"": 35.08}, {""sku"": ""SKU151"", ""qty"": 2, ""price"": 60.71}, {""sku"": ""SKU035"", ""qty"": 2, ""price"": 22.8}]",pos_raw_20260301_10.csv,2026-03-03 07:22:42
T-106619,12-02-2026 04:45 AM,SP01,Retail Store, G-92515 ,485.50,SAR 73,0,CARD,5,"[{""sku"": ""SKU071"", ""qty"": 3, ""price"": 99.23}, {""sku"": ""SKU186"", ""qty"": 2, ""price"": 68.01}, {""sku"": ""SKU118"", ""qty"": 3, ""price"": 77.62}, {""sku"": ""SKU074"", ""qty"": 1, ""price"": 86.18}, {""sku"": ""SKU193"", ""qty"": 3, ""price"": 12.81}]",pos_raw_20260301_10.csv,2026-03-03 07:22:42
T-661876,2026-02-08 13:09:45,SP01,Summit Cafe,NA,49.08,SAR 7.36,14.99,Card,2,"[{""sku"": ""SKU012"", ""qty"": 3, ""price"": 41.28}, {""sku"": ""SKU099"", ""qty"": 1, ""price"": 76.83}]",pos_raw_20260301_10.csv,2026-03-03 07:22:42
T-117358,18-03-2026 11:00 PM +0530,SP01,Peak Restaurant,,S.A.R 718.31,SAR 108,S.A.R 41.89,cash,5,,pos_raw_20260301_10.csv,2026-03-03 07:22:42
T-974554,25-02-2026 05:00 AM,soudah-01,Summit Cafe,g-59693,767.13,115.07,,Card,5,,pos_raw_20260301_10.csv,2026-03-03 07:22:42
T-508216,2026/02/11 23:57,SP01,Spa Lounge, G-20278 ,SR158.76,SR23.81,0,Card,5,,pos_raw_20260301_10.csv,2026-03-03 07:22:42
T-921358,2026-02-18T21:16:14Z,SP01,Peak Restaurant,NULL,SAR 417.89,62.68,0,Card,2,"[{""sku"": ""SKU060"", ""qty"": 1, ""price"": 34.85}, {""sku"": ""SKU052"", ""qty"": 2, ""price"": 93.19}]",pos_raw_20260301_10.csv,2026-03-03 07:22:42
T-894888,2026/03/31 14:04 GMT,SP01,Summit Cafe,NULL,209.46,SAR 31,30.93,Apple Pay,3,"[{""sku"": ""SKU191"", ""qty"": 3, ""price"": 55.72}, {""sku"": ""SKU093"", ""qty"": 3, ""price"": 76.71}, {""sku"": ""SKU144"", ""qty"": 1, ""price"": 64.48}]",pos_raw_20260301_10.csv,2026-03-03 07:22:42
T-466586,2026-03-08 19:25:42 GMT,SP01,Retail Store,NULL,368.43,SAR 55,,cash,4,"[{""sku"": ""SKU172"", ""qty"": 3, ""price"": 73.66}, {""sku"": ""SKU182"", ""qty"": 1, ""price"": 56.12}, {""sku"": ""SKU161"", ""qty"": 2, ""price"": 8.24}, {""sku"": ""SKU127"", ""qty"": 1, ""price"": 95.21}]",pos_raw_20260301_10.csv,2026-03-03 07:22:42
T-404308,2026/04/01 17:52,soudah-01,Retail Store,,SAR772.86,SAR115.93,0.00,Card,3,"[{""sku"": ""SKU142"", ""qty"": 3, ""price"": 98.53}, {""sku"": ""SKU200"", ""qty"": 3, ""price"": 78.97}, {""sku"": ""SKU076"", ""qty"": 1, ""price"": 96.75}",pos_raw_20260301_10.csv,2026-03-03 07:22:42
T-880036,2026-02-12T18:50:04Z,SOUDAH_1,Summit Cafe,,SAR 86,SAR 12.92,,cash,4,"[{""sku"": ""SKU063"", ""qty"": 3, ""price"": 57.02}, {""sku"": ""SKU157"", ""qty"": 1, ""price"": 23.54}, {""sku"": ""SKU047"", ""qty"": 2, ""price"": 49.35}, {""sku"": ""SKU124"", ""qty"": 2, ""price"": 27.72}",pos_raw_20260301_10.csv,2026-03-03 07:22:42
T-187662,2026-02-25 23:48:43,SP01,Summit Cafe,G-30030,660.73,sar99.11,0,Card,1,"[{""sku"": ""SKU127"", ""qty"": 1, ""price"": 74.08}]",pos_raw_20260301_10.csv,2026-03-03 07:22:42
T-105790,27-02-2026 11:36 PM,SOUDAH_1,summit café, G-49720 ,515.69,SAR 77,0.00,Card,5,"[{""sku"": ""SKU179"", ""qty"": 2, ""price"": 92.84}, {""sku"": ""SKU049"", ""qty"": 1, ""price"": 20.29}, {""sku"": ""SKU027"", ""qty"": 1, ""price"": 14.66}, {""sku"": ""SKU176"", ""qty"": 1, ""price"": 20.06}, {""sku"": ""SKU191"", ""qty"": 1, ""price"": 60.95}]",pos_raw_20260301_10.csv,2026-03-03 07:22:42
T-582018,2026-03-25 20:49:05,SP01,summit café,,SAR 719.49,SAR 108,,Apple Pay,2,"[{""sku"": ""SKU139"", ""qty"": 2, ""price"": 88.08}, {""sku"": ""SKU197"", ""qty"": 2, ""price"": 95.52}]",pos_raw_20260301_10.csv,2026-03-03 07:22:42
T-834512,2026-02-09 12:10:14,SP01,Retail Store,G-81575,SR141.21,SAR 21,29.08,Apple Pay,4,"[{""sku"": ""SKU178"", ""qty"": 1, ""price"": 108.31}, {""sku"": ""SKU038"", ""qty"": 1, ""price"": 82.78}, {""sku"": ""SKU177"", ""qty"": 3, ""price"": 49.62}, {""sku"": ""SKU068"", ""qty"": 2, ""price"": 112.57}]",pos_raw_20260301_10.csv,2026-03-03 07:22:42
T-856249,2026-03-18 18:56:50,SP01,Peak Restaurant,,SAR 651.21,VAT: 97.68,SAR 30.13,CARD,1,"[{""sku"": ""SKU189"", ""qty"": 3, ""price"": 83.95}]",pos_raw_20260301_10.csv,2026-03-03 07:22:42
T-216742,2026/02/09 12:28,SP01,Peak Restaurant,,SAR365.73,54.86,SAR20.74,Apple Pay,1,"[{""sku"": ""SKU005"", ""qty"": 3, ""price"": 72.89}]",pos_raw_20260301_10.csv,2026-03-03 07:22:42
T-041765,2026/03/25 01:22,SP01,Peak Restaurant,G-86954,SAR 198.38,29.76,,Card,5,"[{""sku"": ""SKU143"", ""qty"": 3, ""price"": 99.53}, {""sku"": ""SKU120"", ""qty"": 2, ""price"": 87.75}, {""sku"": ""SKU017"", ""qty"": 1, ""price"": 80.92}, {""sku"": ""SKU020"", ""qty"": 1, ""price"": 62.79}, {""sku"": ""SKU015"", ""qty"": 2, ""price"": 84.53}]",pos_raw_20260301_10.csv,2026-03-03 07:22:42
T-129531,2026-02-21T22:43:45Z,soudah-01,Peak Restaurant,G-78688,39.80,5.97,0,Apple Pay,2,,pos_raw_20260301_10.csv,2026-03-03 07:22:42
T-625245,2026-02-03T16:29:02Z,SP-01,Retail Store,,SAR 863,SAR 129,0.00,CARD,5,"[{""sku"": ""SKU024"", ""qty"": 3, ""price"": 75.22}, {""sku"": ""SKU134"", ""qty"": 2, ""price"": 11.24}, {""sku"": ""SKU014"", ""qty"": 2, ""price"": 87.81}, {""sku"": ""SKU067"", ""qty"": 2, ""price"": 21.51}, {""sku"": ""SKU132"", ""qty"": 1, ""price"": 23.09}]",pos_raw_20260301_10.csv,2026-03-03 07:22:42
T-495164,2026-03-22T22:01:49Z,soudah-01,Summit Cafe,G-17419,819.99,SAR 123,0,cash,1,"[{""sku"": ""SKU195"", ""qty"": 2, ""price"": 83.83}]",pos_raw_20260301_10.csv,2026-03-03 07:22:42
T-896691,2026-02-22 09:07:05,SP-01,Peak Restaurant,,SAR 595.36,SAR89.30,SAR 5,CARD,4,"[{""sku"": ""SKU128"", ""qty"": 2, ""price"": 52.75}, {""sku"": ""SKU078"", ""qty"": 2, ""price"": 51.53}, {""sku"": ""SKU038"", ""qty"": 2, ""price"": 50.85}, {""sku"": ""SKU084"", ""qty"": 1, ""price"": 89.05}]",pos_raw_20260301_10.csv,2026-03-03 07:22:42
T-168444,2026-03-14 02:30:05,SP01,Peak Restaurant,G-10937,354.71,SAR 53.21,,Apple Pay,3,"[{""sku"": ""SKU059"", ""qty"": 1, ""price"": 21.05}, {""sku"": ""SKU148"", ""qty"": 3, ""price"": 94.74}, {""sku"": ""SKU121"", ""qty"": 1, ""price"": 57.1}]",pos_raw_20260301_10.csv,2026-03-03 07:22:42
T-834379,29-03-2026 08:15 PM,SP01,Peak Restaurant,NA,773.24,SR 115.99,0,CARD,1,"[{""sku"": ""SKU108"", ""qty"": 2, ""price"": 100.26}]",pos_raw_20260301_10.csv,2026-03-03 07:22:42
T-563099,2026-02-11 04:07:16,SP-01,Retail Store,,SAR 348,SR 52.15,0,cash,1,"[{""sku"": ""SKU041"", ""qty"": 1, ""price"": 38.93}]",pos_raw_20260301_10.csv,2026-03-03 07:22:42
T-715620,2026-02-21T18:18:44Z,SP01,summit café,NULL,SAR 646,SAR 97,0,Card,5,"[{""sku"": ""SKU171"", ""qty"": 1, ""price"": 58.25}, {""sku"": ""SKU095"", ""qty"": 3, ""price"": 16.22}, {""sku"": ""SKU133"", ""qty"": 2, ""price"": 99.38}, {""sku"": ""SKU150"", ""qty"": 1, ""price"": 71.16}, {""sku"": ""SKU111"", ""qty"": 3, ""price"": 68.1}]",pos_raw_20260301_10.csv,2026-03-03 07:22:42
T-690155,2026-03-17T05:25:11Z,SP01,Summit Cafe,G-96310,SAR 791.87,118.78,,cash,3,"[{""sku"": ""SKU046"", ""qty"": 3, ""price"": 107.7}, {""sku"": ""SKU129"", ""qty"": 1, ""price"": 14.47}, {""sku"": ""SKU112"", ""qty"": 3, ""price"": 88.23}]",pos_raw_20260301_10.csv,2026-03-03 07:22:42
T-615962,2026-03-05 10:01:46 +0530,SP01,Summit Cafe,NULL,SR 773.87,VAT: 116.08,,cash,3,"[{""sku"": ""SKU064"", ""qty"": 1, ""price"": 75.65}, {""sku"": ""SKU105"", ""qty"": 3, ""price"": 90.68}, {""sku"": ""SKU108"", ""qty"": 2, ""price"": 87.45}]",pos_raw_20260301_10.csv,2026-03-03 07:22:42
T-736865,2026-02-20 04:20:06,SOUDAH_1,Summit Cafe,,SAR389.25,VAT: SAR 58.39,0,cash,4,"[{""sku"": ""SKU031"", ""qty"": 3, ""price"": 56.29}, {""sku"": ""SKU052"", ""qty"": 3, ""price"": 43.45}, {""sku"": ""SKU185"", ""qty"": 3, ""price"": 49.81}, {""sku"": ""SKU088"", ""qty"": 3, ""price"": 70.52}]",pos_raw_20260301_10.csv,2026-03-03 07:22:42
T-593242,03-03-2026 06:02 AM +0000,soudah-01,Retail Store,,268.18,40.23,0,cash,5,,pos_raw_20260301_10.csv,2026-03-03 07:22:42
T-583949,07-03-2026 11:02 PM,SP01,Summit Cafe,,565.71,SAR 85,VAT: SAR 34.42,Card,3,"[{""sku"": ""SKU104"", ""qty"": 1, ""price"": 28.9}, {""sku"": ""SKU118"", ""qty"": 2, ""price"": 100.89}, {""sku"": ""SKU130"", ""qty"": 1, ""price"": 74.94}]",pos_raw_20260301_10.csv,2026-03-03 07:22:42
T-052735,2026-02-27T07:53:05Z,SP01,Spa Lounge,,SAR 406,60.86,0,CARD,2,"[{""sku"": ""SKU085"", ""qty"": 2, ""price"": 43.51}, {""sku"": ""SKU182"", ""qty"": 1, ""price"": 84.46}]",pos_raw_20260301_10.csv,2026-03-03 07:22:42
T-023787,2026-02-22 00:35:31,SP01,Summit Cafe,,sar135.66,SAR 20,0.00,Card,2,"[{""sku"": ""SKU064"", ""qty"": 2, ""price"": 12.34}, {""sku"": ""SKU026"", ""qty"": 2, ""price"": 54.86}]",pos_raw_20260301_10.csv,2026-03-03 07:22:42
T-620275,2026-02-04 03:36:44,soudah-01,Peak Restaurant,NA,323.57,SAR48.54,36.08,CARD,2,,pos_raw_20260301_10.csv,2026-03-03 07:22:42
T-006478,2026/02/16 16:07,soudah-01,Summit Cafe,G-60516,SR 485.50,SAR 73,,Card,3,"[{""sku"": ""SKU154"", ""qty"": 1, ""price"": 111.93}, {""sku"": ""SKU126"", ""qty"": 2, ""price"": 34.1}, {""sku"": ""SKU199"", ""qty"": 1, ""price"": 11.89}]",pos_raw_20260301_10.csv,2026-03-03 07:22:42
T-957411,2026-03-01T19:44:18Z,SP01,Summit Cafe,NA,SAR156.40,SAR23.46,24.13,Apple Pay,2,"[{""sku"": ""SKU032"", ""qty"": 2, ""price"": 34.0}, {""sku"": ""SKU062"", ""qty"": 2, ""price"": 53.72}]",pos_raw_20260301_10.csv,2026-03-03 07:22:42
T-617820,2026-02-05 01:47:21,SP01,Summit Cafe,G-39890,S.A.R159.75,23.96,0.00,cash,4,"[{""sku"": ""SKU058"", ""qty"": 2, ""price"": 87.06}, {""sku"": ""SKU192"", ""qty"": 2, ""price"": 32.99}, {""sku"": ""SKU172"", ""qty"": 1, ""price"": 10.38}, {""sku"": ""SKU112"", ""qty"": 3, ""price"": 118.53}]",pos_raw_20260301_10.csv,2026-03-03 07:22:42
T-777587,2026/02/19 09:24 +0530,SP01,Peak Restaurant, G-48729 ,SAR 564.46,SAR 84.67,,cash,5,"[{""sku"": ""SKU059"", ""qty"": 3, ""price"": 36.24}, {""sku"": ""SKU136"", ""qty"": 2, ""price"": 21.37}, {""sku"": ""SKU001"", ""qty"": 3, ""price"": 93.64}, {""sku"": ""SKU161"", ""qty"": 1, ""price"": 65.71}, {""sku"": ""SKU200"", ""qty"": 2, ""price"": 38.74}]",pos_raw_20260301_10.csv,2026-03-03 07:22:42
T-658461,2026/04/02 02:39,SP01,Peak Restaurant,NULL,SAR 402,60.34,0,Card,1,"[{""sku"": ""SKU165"", ""qty"": 2, ""price"": 40.0}]",pos_raw_20260301_10.csv,2026-03-03 07:22:42
T-972666,04-02-2026 02:07 PM,SOUDAH_1,Retail Store, G-94437 ,SAR 383,57.51,,CARD,5,,pos_raw_20260301_10.csv,2026-03-03 07:22:42
T-805992,2026/03/26 01:32,SP-01,summit café,NULL,83.53,SAR 13,,cash,NA,"[{""sku"": ""SKU058"", ""qty"": 2, ""price"": 117.23}]",pos_raw_20260301_10.csv,2026-03-03 07:22:42
T-253771,2026-02-21 06:30:10,soudah-01,Retail Store,G51890,113.70,17.05,13.60,Apple Pay,2,"[{""sku"": ""SKU150"", ""qty"": 3, ""price"": 32.24}, {""sku"": ""SKU079"", ""qty"": 1, ""price"": 5.33}]",pos_raw_20260301_10.csv,2026-03-03 07:22:42
T-036997,2026/02/20 05:02,soudah-01,Retail Store,NA,sar 304.30,sar45.65,SAR 21,CARD,4,"[{""sku"": ""SKU033"", ""qty"": 2, ""price"": 78.69}, {""sku"": ""SKU047"", ""qty"": 1, ""price"": 75.39}, {""sku"": ""SKU137"", ""qty"": 3, ""price"": 50.2}, {""sku"": ""SKU044"", ""qty"": 1, ""price"": 5.7}]",pos_raw_20260301_10.csv,2026-03-03 07:22:42
T-165526,2026-03-08T02:59:39Z,SP01,Spa Lounge,,304.54,VAT: 45.68,0,CARD,3,"[{""sku"": ""SKU103"", ""qty"": 3, ""price"": 22.28}, {""sku"": ""SKU093"", ""qty"": 1, ""price"": 65.38}, {""sku"": ""SKU156"", ""qty"": 2, ""price"": 98.58}]",pos_raw_20260301_10.csv,2026-03-03 07:22:42
